table_name         column_name   pkey 
purinvtransact     ptpurinvline  Y    
purline            plcode        Y    
purline            plline        Y    
purlinelimite      pllcode       Y    
purlinelimite      pllline       Y    
purreqhead         pqcode        Y    
purreqline         plcode        Y    
purreqline         plline        Y    
qcauditctrl        qacid         Y    
qcctrlhead         qhctrlid      Y    
qcctrlline         qlctrlid      Y    
qcctrlline         qlline        Y    
qcspecetiq         qeitem        Y    
qcspecetiq         qetyp         Y    
qcspecetiq         qeadcode      Y    
qcspecetiq         qeversn       Y    
qcspecetiq         qeline        Y    
qcspechead         qhitem        Y    
qcspechead         qhtyp         Y    
qcspechead         qhadcode      Y    
qcspechead         qhversn       Y    
qcspecline         qlitem        Y    
qcspecline         qltyp         Y    
qcspecline         qladcode      Y    
qcspecline         qlversn       Y    
qcspecline         qlline        Y    
qctchoice          qcchoiceid    Y    
qctchoice          qcseq         Y    
qctest             qttestid      Y    
query              qrname        Y    
quotes             qocode        Y    
quotes             qominqty      Y    
r_ih_ih            ihcode        Y    
r_ih_ih            ihcodenote    Y    
r_il_il            ilcode        Y    
r_il_il            illine        Y    
r_il_il            ilcodenote    Y    
r_il_il            illinenote    Y    
ratehead           rhcode        Y    
rateline           rlcode        Y    
rateline           rlitem        Y    
routjal            rjcode_item   Y    
routjal            rjcode        Y    
routjal            rjminqty      Y    
routline           rlcode        Y    
routline           rltype        Y    
routline           rlline        Y    
routline_nomachine rmrlcode      Y    
routline_nomachine rmrltype      Y    
routline_nomachine rmrlline      Y    
routline_nomachine rmmcid        Y    
routreject         rrcode        Y    
routreject         rrtype        Y    
routtest           rtcode        Y    
routtest           rtline        Y    
rs_lastcommit      origin        Y    
rs_threads         id            Y    
salaudit           saslcode      Y    
salaudit           saslline      Y    
salaudit           satyp         Y    
salaudit           sadate        Y    
salaux             sacode        Y    
salaux             saline        Y    
salediscount       sdcode        Y    
salegroup          sgcode        Y    
salesman           smcode        Y    
salhead            shcode        Y    
salline            slcode        Y    
salline            slline        Y    
salplab            sbphid        Y    
salplab            sbplid        Y    
salplab            sbcode        Y    
salpline           slcode        Y    
salpline           slline        Y    
salpmat            smphid        Y    
salpmat            smplid        Y    
salpmat            smcode        Y    
salpsize           ssphid        Y    
salpsize           ssplid        Y    
salpsize           ssduid        Y    
schedmat           smitem        Y    
schedmat           smreqdat      Y    
schedmat           smordtyp      Y    
schedmat           smordno       Y    
schedmat           smordlin      Y    
schedwrkcal        wcwcid        Y    
schedwrkcal        wcdat         Y    
schedwrkdet        wdwcid        Y    
schedwrkdet        wddat         Y    
schedwrkdet        wdordtyp      Y    
schedwrkdet        wdordno       Y    
schedwrkdet        wdordlin      Y    
sendmail           smidcode      Y    
serialnum          snitem        Y    
serialnum          snstartno     Y    
shipcost           sccode        Y    
shipcost           scline        Y    
shipgrhead         ghshipid      Y    
shipgrhead         ghlevel       Y    
shipgrhead         ghlevelseq    Y    
shipgrhead         ghprevlevelse Y    
shipgrline         glshipid      Y    
shipgrline         gllevel       Y    
shipgrline         gllevelseq    Y    
shipgrline         glprevlevelse Y    
shipgrline         glshipline    Y    
shiphead           shcode        Y    
shipline           slcode        Y    
shipline           slline        Y    
shippack           spcode        Y    
shippack           spline        Y    
shipplan           spsalhead     Y    
shipplan           spsalline     Y    
shipto             stcode        Y    
shipto             stseq         Y    
Skins              skinname      Y    
smt_category       sct_id        Y    
smtcode            sccode        Y    
smtlink            slitemid      Y    
smtlink            slsmtid       Y    
srvccycle          scid          Y    
srvcentity         secode        Y    
srvcrqhead         srid          Y    
srvcrqlab          slid          Y    
srvcrqlab          slline        Y    
srvcrqmat          smid          Y    
srvcrqmat          smline        Y    
srvcrqoth          soid          Y    
srvcrqoth          soline        Y    
ssccline           slcode        Y    
stocks             stid          Y    
stocks_f           stitem        Y    
stocks_f           stsalhead     Y    
stocks_f           stsallin      Y    
stocks_f           stlot         Y    
stocks_f           stloc         Y    
SUBACTION          sa_id         Y    
SUBHEAD            sh_id         Y    
SUBINVOICE         si_id         Y    
SUBLINE_REP        sr_id         Y    
SUBLINE_SAL        sl_id         Y    
techdata           Tdcode        Y    
Techdatalang       Tlcode        Y    
Techdatalang       Tllang        Y    
techlink           Tiitem        Y    
techlink           Ticode        Y    
tickethead         thcode        Y    
tickethead         thcash        Y    
ticketline         tlcode        Y    
ticketline         tlcash        Y    
ticketline         tlline        Y    
ticketline_invoice tiid          Y    
toreception        trid          Y    
transact_with_conf tc_id         Y    
transactcash       tccode        Y    
transactico        ticode        Y    
transactico        tiadcode      Y    
transactico_functy tftype        Y    
transactico_functy tffunctiontyp Y    
transactico_functy tfticode      Y    
transactions       trcode        Y    
transreason        ticode        Y    
transreason        tiimp         Y    
trf_emp_3step_head teid          Y    
trf_emp_3step_line tlid          Y    
truckhead          thcode        Y    
truckline          tlcode        Y    
truckline          tlline        Y    
truckref           trtyp         Y    
truckturn          ttturncode    Y    
truckturn          tttruck       Y    
trustbox           tb_id         Y    
turn_prev          tpid          Y    
turnhead           thid          Y    
turnline           tlid          Y    
turnline           tladcode      Y    
turnline           tlshipto      Y    
tvalvl             ttcode        Y    
tvalvl_country     tccode        Y    
tvalvl_country     tccountry     Y    
userfields         uftableid     Y    
userfields         uffieldid     Y    
userfieldsddlb     udid          Y    
users              uscode        Y    
users_design       uscode        Y    
users_design       pmi_version   Y    
users_favoris      uscode        Y    
users_favoris      favoris_numbe Y    
users_size         uscode        Y    
users_size         window_name   Y    
users_size         object_name   Y    
viewnames          vncode        Y    
viewstruct         vscode        Y    
viewstruct         vsfieldcode   Y    
wb5addfields       afcode        Y    
wb5addfields       afmccocode    Y    
wbvatcodes         wbopertyp     Y    
wbvatcodes         wbvatdectyp   Y    
wbvatcodes         wbacctyp      Y    
wbvatcodes         wbvattyp      Y    
wbvatcodes         wbvatrate     Y    
wccal              wkcode        Y    
wccal              wkdate        Y    
wccal              wkordno       Y    
wcplan             wpwccode      Y    
wcplan             wpdat         Y    
wcreq              wrordno       Y    
wcreq              wrline        Y    
webcmnt            cmcode        Y    
websalhead         wshwebid      Y    
websalline         wslwebidhead  Y    
websalline         wslwebidline  Y    
windows_resize     window_name   Y    
windows_resize     object_name   Y    
wipeval            wecode        Y    
WMS_CSS            wc_id         Y    
WMS_STO            ws_id         Y    
workcenters        wccode        Y    
workers            wkcode        Y    
workflowhead       whid          Y    
workflowline       wlhead        Y    
workflowline       wlline        Y    
workhead           whwkcode      Y    
workhead           whdate        Y    
workimport         widate        Y    
workimport         wiworkerid    Y    
workline           wlwkcode      Y    
workline           wldat         Y    
workline           wlstart       Y    
workline           wlseq         Y    
workoper           wotyp         Y    
workoper           wowcid        Y    
workoper           woopid        Y    
workroll           wrcode        Y    
workroll           wrdat         Y    
